%	Date:	2006-06-01	Time:	01:16:04
%	Sampling frequency		[Hz]:	199000
%	Generator amplitude		[V]:	0.89200
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.8685E+3	2.4885E+1	-2.6057E-1	-7.0579E+1	-7.8114E+1	-7.9127E+1	-7.4453E+1	-7.6200E+1
1.9452E+3	2.4885E+1	-2.7864E-1	-7.0514E+1	-7.8293E+1	-7.9068E+1	-7.4311E+1	-7.6097E+1
2.0250E+3	2.4885E+1	-2.9718E-1	-7.0882E+1	-7.7474E+1	-8.0155E+1	-7.4827E+1	-7.6745E+1
2.1082E+3	2.4885E+1	-3.1644E-1	-7.1348E+1	-7.6563E+1	-8.1793E+1	-7.5610E+1	-7.7654E+1
2.1947E+3	2.4885E+1	-3.3591E-1	-7.1462E+1	-7.6383E+1	-8.2274E+1	-7.5820E+1	-7.7871E+1
2.2848E+3	2.4885E+1	-3.5611E-1	-7.1916E+1	-7.5485E+1	-8.4961E+1	-7.6875E+1	-7.9096E+1
2.3786E+3	2.4885E+1	-3.7699E-1	-7.2174E+1	-7.4614E+1	-8.8699E+1	-7.7967E+1	-8.0583E+1
2.4763E+3	2.4885E+1	-3.9836E-1	-7.2249E+1	-7.4134E+1	-9.2381E+1	-7.8696E+1	-8.1609E+1
2.5779E+3	2.4886E+1	-4.2042E-1	-7.2220E+1	-7.3462E+1	-1.0499E+2	-7.9901E+1	-8.3323E+1
2.6838E+3	2.4886E+1	-4.4303E-1	-7.2166E+1	-7.3141E+1	-1.0714E+2	-8.0663E+1	-8.4422E+1
2.7939E+3	2.4886E+1	-4.6658E-1	-7.1864E+1	-7.2512E+1	-9.3465E+1	-8.2046E+1	-8.6325E+1
2.9086E+3	2.4886E+1	-4.9079E-1	-7.1530E+1	-7.2074E+1	-8.8495E+1	-8.2896E+1	-8.7610E+1
3.0280E+3	2.4886E+1	-5.1576E-1	-7.1172E+1	-7.1670E+1	-8.5595E+1	-8.3912E+1	-8.8348E+1
3.1524E+3	2.4886E+1	-5.4151E-1	-7.0865E+1	-7.1375E+1	-8.4010E+1	-8.4354E+1	-8.8455E+1
3.2818E+3	2.4886E+1	-5.6802E-1	-7.0741E+1	-7.1272E+1	-8.3164E+1	-8.4740E+1	-8.8160E+1
3.4165E+3	2.4886E+1	-5.9557E-1	-7.0488E+1	-7.1044E+1	-8.2258E+1	-8.5135E+1	-8.7627E+1
3.5568E+3	2.4886E+1	-6.2393E-1	-7.0237E+1	-7.0842E+1	-8.1429E+1	-8.5082E+1	-8.6967E+1
3.7028E+3	2.4886E+1	-6.5320E-1	-7.0329E+1	-7.0889E+1	-8.1550E+1	-8.6000E+1	-8.7665E+1
3.8548E+3	2.4885E+1	-6.8340E-1	-7.0535E+1	-7.1052E+1	-8.1850E+1	-8.6661E+1	-8.9078E+1
4.0130E+3	2.4885E+1	-7.1484E-1	-7.0543E+1	-7.1058E+1	-8.1784E+1	-8.6745E+1	-8.9531E+1
4.1778E+3	2.4885E+1	-7.4720E-1	-7.0854E+1	-7.1294E+1	-8.2638E+1	-8.7291E+1	-9.2293E+1
4.3493E+3	2.4885E+1	-7.8062E-1	-7.1219E+1	-7.1606E+1	-8.3456E+1	-8.7579E+1	-9.7380E+1
4.5278E+3	2.4885E+1	-8.1587E-1	-7.0986E+1	-7.1426E+1	-8.2619E+1	-8.7572E+1	-9.3509E+1
4.7137E+3	2.4885E+1	-8.5181E-1	-7.1324E+1	-7.1705E+1	-8.3659E+1	-8.7440E+1	-1.0078E+2
4.9072E+3	2.4884E+1	-8.8941E-1	-7.1478E+1	-7.1857E+1	-8.3929E+1	-8.7329E+1	-1.0290E+2
5.1087E+3	2.4884E+1	-9.2854E-1	-7.1385E+1	-7.1783E+1	-8.3524E+1	-8.7336E+1	-1.0105E+2
5.3184E+3	2.4884E+1	-9.6894E-1	-7.1528E+1	-7.1939E+1	-8.3619E+1	-8.7073E+1	-1.0423E+2
